
2025-4-17 3:17:23,Sunita Devi,Tuktuk,8.68033,183.607,NIT Silchar,Goldighi Mall
2025-4-17 3:20:49,Priya Patel,Taxi,8.68033,637.623,NIT Silchar,Goldighi Mall
2025-4-17 3:21:21,Sunita Devi,Tuktuk,8.68033,183.607,NIT Silchar,Goldighi Mall
2025-4-17 3:22:7,Priya Patel,Taxi,8.68033,637.623,NIT Silchar,Goldighi Mall
2025-4-17 3:22:27,Priya Patel,Taxi,8.68033,637.623,Goldighi Mall,NIT Silchar
2025-4-17 3:22:47,Meena Kumari,Tuktuk,8.68033,183.607,Goldighi Mall,NIT Silchar
2025-4-17 3:43:41,Priya Patel,Taxi,8.68033,637.62,NIT Silchar,Goldighi Mall
2025-4-17 4:5:53,RENTAL,Taxi,0,1250.00,N/A,N/A
2025-4-17 4:22:26,RENTAL,Motorcycle -  Honda CB 350 RS (Black),26,52000.00,N/A,N/A
2025-4-17 4:32:56,RENTAL,Motorcycle - TVS Apache RTR 160 (Red),3,3900.00,N/A,N/A
2025-4-17 4:37:0,RENTAL,Hatchback - Maruti Suzuki Swift (Red),2,5600.00,N/A,N/A
2025-4-17 4:40:5,RENTAL,Hatchback - Hyundai i20 (White),12,34800.00,N/A,N/A
2025-4-17 4:42:4,RENTAL,Hatchback - Volkswagen Polo (Blue),4,12000.00,N/A,N/A
